"County","Percent","Preceding Period","Year Ago from Period","Year"
"Adams County, WI",12.5,12.7,12.7,2017          
"Ashland County, WI",21.7,22.2,22.2,2017
"Barron County, WI",19.5,18.2,18.2,2017
"Bayfield County, WI",31.0,29.2,29.2,2017
"Brown County, WI",29.5,28.2,28.2,2017
"Buffalo County, WI",17.9,18.2,18.2,2017
"Burnett County, WI",18.5,18.5,18.5,2017
"Calumet County, WI",28.6,28.7,28.7,2017
"Chippewa County, WI",20.2,19.3,19.3,2017
"Clark County, WI",11.4,11.5,11.5,2017
"Columbia County, WI",22.6,22.7,22.7,2017
"Crawford County, WI",16.8,15.7,15.7,2017
"Dane County, WI",50.0,49.0,49.0,2017
"Dodge County, WI",16.1,16.3,16.3,2017
"Door County, WI",32.7,31.3,31.3,2017
"Douglas County, WI",23.9,22.8,22.8,2017
"Dunn County, WI",27.7,26.6,26.6,2017
"Eau Claire County, WI",30.3,30.8,30.8,2017
"Florence County, WI",16.1,17.5,17.5,2017
"Fon du Lac County, WI",22.9,21.9,21.9,2017
"Forest County, WI",14.5,14.1,14.1,2017
"Grant County, WI",21.5,21.3,21.3,2017
"Green County, WI",23.2,22.7,22.7,2017
"Green Lake County, WI",18.5,17.7,17.7,2017
"Iowa County, WI",24.5,23.0,23.0,2017
"Iron County, WI",19.3,19.7,19.7,2017
"Jackson County, WI",13.8,13.9,13.9,2017
"Jefferson County, WI",23.9,23.5,23.5,2017
"Juneau County, WI",13.3,12.9,12.9,2017
"Kenosha County, WI",25.1,24.6,24.6,2017
"Kewaunee County, WI",18.2,16.9,16.9,2017
"La Crosse County, WI",33.0,32.5,32.5,2017
"Lafayette County, WI",17.9,17.7,17.7,2017
"Langlade County, WI",16.6,16.1,16.1,2017
"Lincoln County, WI",17.3,16.0,16.0,2017
"Manitowoc County, WI",19.7,19.7,19.7,2017
"Marathon County, WI",24.5,23.9,23.9,2017
"Marinette County, WI",14.8,14.5,14.5,2017
"Marquette County, WI",13.6,13.8,13.8,2017
"Menominee County, WI",15.9,16.5,16.5,2017
"Milwaukee County, WI",30.1,29.7,29.7,2017
"Monroe County, WI",19.5,18.2,18.2,2017
"Oconto County, WI",16.8,16.2,16.2,2017
"Oneida County, WI",27.5,26.2,26.2,2017
"Outagamie County, WI",28.3,27.8,27.8,2017
"Ozaukee County, WI",47.7,46.7,46.7,2017
"Pepin County, WI",19.1,18.3,18.3,2017
"Pierce County, WI",27.7,27.8,27.8,2017
"Polk County, WI",19.8,19.6,19.6,2017
"Portage County, WI",31.5,30.3,30.3,2017
"Price County, WI",17.0,16.2,16.2,2017
"Racine County, WI",24.4,24.0,24.0,2017
"Richland County, WI",18.8,17.8,17.8,2017
"Rock County, WI",21.4,20.8,20.8,2017
"Rusk County, WI",14.8,14.8,14.8,2017
"St. Croix County, WI",34.0,33.4,33.4,2017
"Sauk County, WI",23.4,22.3,22.3,2017
"Sawyer County, WI",22.0,22.1,22.1,2017
"Shawano County, WI",15.8,15.6,15.6,2017
"Sheboygan County, WI",23.8,23.6,23.6,2017
"Taylor County, WI",14.4,13.5,13.5,2017
"Trempealeau County, WI",19.7,19.3,19.3,2017
"Vernon County, WI",21.6,21.2,21.2,2017
"Vilas County, WI",27.1,26.8,26.8,2017
"Walworth County, WI",28.5,27.8,27.8,2017
"Washburn County, WI",22.0,21.6,21.6,2017
"Washington County, WI",29.7,29.4,29.4,2017
"Waukesha County, WI",42.9,41.6,41.6,2017
"Waupaca County, WI",18.5,17.7,17.7,2017
"Waushara County, WI",15.2,15.1,15.1,2017
"Winnebago County, WI",27.3,26.9,26.9,2017
"Wood County, WI",21.1,20.4,20.4,2017
"Adams County, WI",12.4,12.5,12.5 ,2018
"Ashland County, WI",21.1,21.7,21.7,2018
"Barron County, WI",19.9,19.5,19.5,2018
"Bayfield County, WI",30.5,31.0,31.0,2018
"Brown County, WI",29.6,29.5,29.5,2018
"Buffalo County, WI",17.9,17.9,17.9,2018
"Burnett County, WI",20.0,18.5,18.5,2018
"Calumet County, WI",28.7,28.6,28.6,2018
"Chippewa County, WI",20.1,20.2,20.2,2018
"Clark County, WI",11.5,11.4,11.4,2018
"Columbia County, WI",23.2,22.6,22.6,2018
"Crawford County, WI",17.8,16.8,16.8,2018
"Dane County, WI",50.7,50.0,50.0,2018
"Dodge County, WI",16.5,16.1,16.1,2018
"Door County, WI",32.1,32.7,32.7,2018
"Douglas County, WI",24.0,23.9,23.9,2018
"Dunn County, WI",28.0,27.7,27.7,2018
"Eau Claire County, WI",31.8,30.3,30.3,2018
"Florence County, WI",18.3,16.1,16.1,2018
"Fon du Lac County, WI",22.7,22.9,22.9,2018
"Forest County, WI",15.6,14.5,14.5,2018
"Grant County, WI",23.0,21.5,21.5,2018
"Green County, WI",23.0,23.2,23.2,2018
"Green Lake County, WI",19.3,18.5,18.5,2018
"Iowa County, WI",24.3,24.5,24.5,2018
"Iron County, WI",20.0,19.3,19.3,2018
"Jackson County, WI",14.4,13.8,13.8,2018
"Jefferson County, WI",24.8,23.9,23.9,2018
"Juneau County, WI",13.6,13.3,13.3,2018
"Kenosha County, WI",25.7,25.1,25.1,2018
"Kewaunee County, WI",19.1,18.2,18.2,2018
"La Crosse County, WI",34.3,33.0,33.0,2018
"Lafayette County, WI",18.9,17.9,17.9,2018
"Langlade County, WI",16.5,16.6,16.6,2018
"Lincoln County, WI",18.3,17.3,17.3,2018
"Manitowoc County, WI",19.9,19.7,19.7,2018
"Marathon County, WI",25.6,24.5,24.5,2018
"Marinette County, WI",15.0,14.8,14.8,2018
"Marquette County, WI",14.2,13.6,13.6,2018
"Menominee County, WI",17.2,15.9,15.9,2018
"Milwaukee County, WI",30.5,30.1,30.1,2018
"Monroe County, WI",19.9,19.5,19.5,2018
"Oconto County, WI",16.0,16.8,16.8,2018
"Oneida County, WI",27.1,27.5,27.5,2018
"Outagamie County, WI",28.9,28.3,28.3,2018
"Ozaukee County, WI",48.4,47.7,47.7,2018
"Pepin County, WI",19.2,19.1,19.1,2018
"Pierce County, WI",28.2,27.7,27.7,2018
"Polk County, WI",20.4,19.8,19.8,2018
"Portage County, WI",32.0,31.5,31.5,2018
"Price County, WI",16.9,17.0,17.0,2018
"Racine County, WI",24.7,24.4,24.4,2018
"Richland County, WI",18.9,18.8,18.8,2018
"Rock County, WI",21.8,21.4,21.4,2018
"Rusk County, WI",15.8,14.8,14.8,2018
"St. Croix County, WI",33.7,34.0,34.0,2018
"Sauk County, WI",23.8,23.4,23.4,2018
"Sawyer County, WI",23.2,22.0,22.0,2018
"Shawano County, WI",16.1,15.8,15.8,2018
"Sheboygan County, WI",23.9,23.8,23.8,2018
"Taylor County, WI",14.7,14.4,14.4,2018
"Trempealeau County, WI",19.4,19.7,19.7,2018
"Vernon County, WI",21.8,21.6,21.6,2018
"Vilas County, WI",27.1,27.1,27.1,2018
"Walworth County, WI",28.3,28.5,28.5,2018
"Washburn County, WI",22.3,22.0,22.0,2018
"Washington County, WI",30.7,29.7,29.7,2018
"Waukesha County, WI",43.8,42.9,42.9,2018
"Waupaca County, WI",19.1,18.5,18.5,2018
"Waushara County, WI",15.7,15.2,15.2,2018
"Winnebago County, WI",27.3,27.3,27.3,2018
"Wood County, WI",21.6,21.1,21.1,2018
"Adams County, WI",13.9,12.4,12.4,2019
"Ashland County, WI",19.8,21.1,21.1,2019
"Barron County, WI",20.6,19.9,19.9,2019
"Bayfield County, WI",31.1,30.5,30.5,2019
"Brown County, WI",30.3,29.6,29.6,2019
"Buffalo County, WI",19.3,17.9,17.9,2019
"Burnett County, WI",20.8,20.0,20.0,2019
"Calumet County, WI",29.4,28.7,28.7,2019
"Chippewa County, WI",21.0,20.1,20.1,2019
"Clark County, WI",12.6,11.5,11.5,2019
"Columbia County, WI",23.3,23.2,23.2,2019
"Crawford County, WI",18.4,17.8,17.8,2019
"Dane County, WI",51.4,50.7,50.7,2019
"Dodge County, WI",17.0,16.5,16.5,2019
"Door County, WI",33.7,32.1,32.1,2019
"Douglas County, WI",24.1,24.0,24.0,2019
"Dunn County, WI",27.9,28.0,28.0,2019
"Eau Claire County, WI",32.3,31.8,31.8,2019
"Florence County, WI",19.9,18.3,18.3,2019
"Fon du Lac County, WI",23.1,22.7,22.7,2019
"Forest County, WI",14.7,15.6,15.6,2019
"Grant County, WI",23.8,23.0,23.0,2019
"Green County, WI",23.6,23.0,23.0,2019
"Green Lake County, WI",20.2,19.3,19.3,2019
"Iowa County, WI",24.6,24.3,24.3,2019
"Iron County, WI",20.0,20.0,20.0,2019
"Jackson County, WI",14.6,14.4,14.4,2019
"Jefferson County, WI",25.4,24.8,24.8,2019
"Juneau County, WI",13.7,13.6,13.6,2019
"Kenosha County, WI",26.1,25.7,25.7,2019
"Kewaunee County, WI",19.4,19.1,19.1,2019
"La Crosse County, WI",34.9,34.3,34.3,2019
"Lafayette County, WI",18.8,18.9,18.9,2019
"Langlade County, WI",16.7,16.5,16.5,2019
"Lincoln County, WI",18.4,18.3,18.3,2019
"Manitowoc County, WI",20.2,19.9,19.9,2019
"Marathon County, WI",25.4,25.6,25.6,2019
"Marinette County, WI",15.9,15.0,15.0,2019
"Marquette County, WI",15.1,14.2,14.2,2019
"Menominee County, WI",17.9,17.2,17.2,2019
"Milwaukee County, WI",31.0,30.5,30.5,2019
"Monroe County, WI",20.6,19.9,19.9,2019
"Oconto County, WI",16.8,16.0,16.0,2019
"Oneida County, WI",27.2,27.1,27.1,2019
"Outagamie County, WI",29.7,28.9,28.9,2019
"Ozaukee County, WI",49.0,48.4,48.4,2019
"Pepin County, WI",20.6,19.2,19.2,2019
"Pierce County, WI",29.2,28.2,28.2,2019
"Polk County, WI",20.9,20.4,20.4,2019
"Portage County, WI",32.9,32.0,32.0,2019
"Price County, WI",16.5,16.9,16.9,2019
"Racine County, WI",25.2,24.7,24.7,2019
"Richland County, WI",19.0,18.9,18.9,2019
"Rock County, WI",22.1,21.8,21.8,2019
"Rusk County, WI",16.6,15.8,15.8,2019
"St. Croix County, WI",35.4,33.7,33.7,2019
"Sauk County, WI",24.1,23.8,23.8,2019
"Sawyer County, WI",24.2,23.2,23.2,2019
"Shawano County, WI",15.7,16.1,16.1,2019
"Sheboygan County, WI",25.1,23.9,23.9,2019
"Taylor County, WI",15.1,14.7,14.7,2019
"Trempealeau County, WI",19.3,19.4,19.,2019
"Vernon County, WI",22.4,21.8,21.8,2019
"Vilas County, WI",29.1,27.1,27.1,2019
"Walworth County, WI",28.8,28.3,28.3,2019
"Washburn County, WI",23.0,22.3,22.3,2019
"Washington County, WI",31.5,30.7,30.7,2019
"Waukesha County, WI",44.5,43.8,43.8,2019
"Waupaca County, WI",19.9,19.1,19.1,2019
"Waushara County, WI",16.3,15.7,15.7,2019
"Winnebago County, WI",28.3,27.3,27.3,2019
"Wood County, WI",21.6,21.6,21.6,2019